['0', 'component', '\\042scsi', 'wwid:01000010:6005', '08b4', '0001', '00c6', '0006', '3000', '003d', '0000\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042scsi', 'wwid:01000010:6005', '08b4', '0001', '00c6', '0006', '3000', '003d', '0000\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E0']
['1', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['2', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['3', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['4', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['5', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['6', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['7', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['8', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['9', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['10', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['11', 'component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', '', ['component', '\\042alt0\\042', 'is', 'in', 'the', 'unavailable', 'state', ''], 'E1']
['153', 'successfully', [...], 'E3']
['154', 'successfully', [...], 'E3']
['155', 'successfully', [...], 'E3']
['156', 'successfully', [...], 'E3']
['157', 'successfully', [...], 'E3']
['158', 'successfully', [...], 'E3']
['159', 'successfully', [...], 'E3']
['160', 'successfully', [...], 'E3']
['161', 'successfully', [...], 'E3']
['162', 'successfully', [...], 'E3']
['304', 'aborted', [...], 'E4']
['1456', 'expired', [...], 'E5']
['1457', 'expired', [...], 'E5']
['1459', 'expired', [...], 'E5']
['1460', 'expired', [...], 'E5']
['1461', 'expired', [...], 'E5']
['1462', 'expired', [...], 'E5']
['1463', 'expired', [...], 'E5']
['1464', 'expired', [...], 'E5']
['1465', 'expired', [...], 'E5']
['1466', 'expired', [...], 'E5']
['1467', 'expired', [...], 'E5']
['1468', 'expired', [...], 'E5']
['1469', 'expired', [...], 'E5']
['1470', 'expired', [...], 'E5']
['1471', 'expired', [...], 'E5']
['1472', 'expired', [...], 'E5']
['1473', 'expired', [...], 'E5']
['1474', 'expired', [...], 'E5']
['1475', 'expired', [...], 'E5']
['1476', 'expired', [...], 'E5']
['1477', 'expired', [...], 'E5']
['1478', 'expired', [...], 'E5']
['1479', 'expired', [...], 'E5']
['1480', 'expired', [...], 'E5']
['1481', 'expired', [...], 'E5']
['1482', 'expired', [...], 'E5']
['1483', 'expired', [...], 'E5']
['1484', 'expired', [...], 'E5']
['1485', 'expired', [...], 'E5']
['1486', 'expired', [...], 'E5']
['1487', 'expired', [...], 'E5']
['1488', 'expired', [...], 'E5']
['1489', 'expired', [...], 'E5']
['1490', 'expired', [...], 'E5']
['1491', 'expired', [...], 'E5']
['1492', 'expired', [...], 'E5']
['1493', 'expired', [...], 'E5']
['1494', 'expired', [...], 'E5']
['1495', 'expired', [...], 'E5']
['1496', 'expired', [...], 'E5']
['1497', 'expired', [...], 'E5']
['1498', 'expired', [...], 'E5']
['1499', 'expired', [...], 'E5']
['1500', 'expired', [...], 'E5']
['1501', 'expired', [...], 'E5']
['1502', 'expired', [...], 'E5']
['1503', 'expired', [...], 'E5']
['1504', 'expired', [...], 'E5']
['1505', 'expired', [...], 'E5']
['1506', 'expired', [...], 'E5']
['1507', 'expired', [...], 'E5']
['1508', 'expired', [...], 'E5']
['1509', 'expired', [...], 'E5']
['1510', 'expired', [...], 'E5']
['1511', 'expired', [...], 'E5']
['1512', 'expired', [...], 'E5']
['1513', 'expired', [...], 'E5']
['1514', 'expired', [...], 'E5']
['1515', 'expired', [...], 'E5']
['1516', 'expired', [...], 'E5']
['1517', 'expired', [...], 'E5']
['1518', 'expired', [...], 'E5']
['1519', 'expired', [...], 'E5']
['1520', 'expired', [...], 'E5']
['1521', 'expired', [...], 'E5']
['1522', 'expired', [...], 'E5']
['1523', 'expired', [...], 'E5']
['1524', 'expired', [...], 'E5']
['1525', 'expired', [...], 'E5']
['1526', 'expired', [...], 'E5']
['1527', 'expired', [...], 'E5']
['1528', 'expired', [...], 'E5']
['1529', 'expired', [...], 'E5']
['1530', 'expired', [...], 'E5']
['1531', 'expired', [...], 'E5']
['1532', 'expired', [...], 'E5']
['1533', 'expired', [...], 'E5']
['1534', 'expired', [...], 'E5']
['1535', 'expired', [...], 'E5']
['1536', 'expired', [...], 'E5']
['1537', 'expired', [...], 'E5']
['1538', 'expired', [...], 'E5']
['1539', 'expired', [...], 'E5']
['1540', 'expired', [...], 'E5']
['1542', 'expired', [...], 'E5']
['1543', 'expired', [...], 'E5']
['1544', 'expired', [...], 'E5']
['1545', 'expired', [...], 'E5']
['1546', 'expired', [...], 'E5']
['1547', 'expired', [...], 'E5']
['1548', 'expired', [...], 'E5']
['1549', 'expired', [...], 'E5']
['1550', 'expired', [...], 'E5']
['1551', 'expired', [...], 'E5']
['1552', 'expired', [...], 'E5']
['1553', 'expired', [...], 'E5']
['1554', 'expired', [...], 'E5']
['1555', 'expired', [...], 'E5']
['1556', 'expired', [...], 'E5']
['1557', 'expired', [...], 'E5']
